TransactionID,TransactionAmount,TransactionTime,MerchantCategory,CustomerAge,CustomerGender,CustomerIncome,TransactionLocation,PreviousFraudCount,Fraud
1,4910.15,5.12,Healthcare,70,Female,168527,Urban,3,1
2,3928.13,14.53,Travel,26,Male,59722,Rural,3,1
3,1501.22,20.39,Electronics,22,Female,52947,Rural,5,0
4,2477.2,13.27,Online,50,Female,45399,Rural,0,0
5,1512.13,9.24,Electronics,58,Female,31075,Suburban,3,0
6,2712.01,7.98,Healthcare,67,Male,144916,Urban,1,1
7,3405.84,14.85,Electronics,68,Male,197500,Urban,1,0
8,4078.46,0.12,Grocery,19,Female,186937,Suburban,5,1
9,4419.72,8.41,Restaurant,54,Female,160248,Rural,0,0
10,729.93,9.66,Fuel,60,Female,37511,Urban,2,0
11,2065.43,10.88,Electronics,68,Male,58580,Rural,3,0
12,2497.88,1.01,Healthcare,73,Male,142612,Rural,0,0
13,4888.89,5.33,Restaurant,58,Male,107519,Urban,1,1
14,3632.1,7.47,Healthcare,75,Female,75294,Rural,3,1
15,2900.08,16.62,Online,25,Female,37624,Urban,1,0
16,4494.98,23.43,Fuel,23,Female,140665,Suburban,4,1
17,2553.44,16.1,Fuel,20,Male,192491,Suburban,5,0
18,4633.28,20.79,Restaurant,75,Male,68613,Rural,5,1
19,982.26,22.52,Fashion,80,Female,173949,Urban,3,0
20,264.98,8.85,Online,62,Male,57735,Urban,0,0
21,930.26,5.49,Fashion,18,Female,171272,Rural,4,0
22,2197.28,19.77,Grocery,21,Female,72611,Urban,2,0
23,4198.48,1.52,Online,37,Male,196208,Rural,3,1
24,3593.59,3.04,Travel,63,Male,185454,Rural,3,1
25,3539.86,0.55,Fashion,49,Female,152231,Suburban,2,1
26,185.54,8.58,Healthcare,18,Male,143585,Rural,4,0
27,1974.64,16.47,Travel,74,Female,189178,Urban,5,0
28,4873.16,5.37,Fuel,40,Male,175278,Suburban,0,1
29,3787.81,5.57,Fashion,47,Male,34740,Urban,0,0
30,387.19,0.69,Electronics,55,Male,37450,Rural,1,0
31,3246.93,2.08,Fuel,45,Male,122264,Suburban,1,1
32,269.64,8.41,Travel,80,Male,193861,Rural,1,0
33,1888.23,12.05,Grocery,31,Male,190069,Suburban,4,0
34,2334.27,1.45,Travel,78,Female,101039,Urban,0,1
35,4836.35,5.49,Fashion,34,Male,97399,Suburban,1,0
36,500.89,12.8,Restaurant,75,Male,73725,Suburban,3,0
37,2239.0,19.86,Travel,61,Male,146112,Suburban,0,0
38,1557.15,8.55,Healthcare,79,Female,96103,Urban,1,0
39,680.81,3.61,Healthcare,80,Male,164613,Suburban,1,0
40,299.8,1.91,Electronics,26,Female,172479,Urban,3,0
41,4242.32,4.43,Healthcare,67,Female,152493,Rural,4,1
42,2097.68,22.66,Grocery,47,Male,106638,Urban,0,0
43,1060.25,9.7,Restaurant,19,Female,147251,Urban,3,1
44,3431.54,21.8,Fuel,42,Female,194879,Rural,2,1
45,915.84,4.54,Fashion,39,Male,45252,Urban,2,0
46,4570.09,2.78,Restaurant,77,Female,157962,Suburban,3,1
47,2042.05,22.05,Grocery,25,Female,111867,Suburban,2,1
48,2987.62,2.33,Online,75,Male,184431,Urban,1,0
49,4119.18,3.61,Travel,23,Female,30301,Suburban,3,1
50,1512.51,18.11,Online,51,Female,22999,Rural,5,0
51,1211.33,8.95,Fashion,20,Female,114583,Urban,4,0
52,3731.26,15.42,Travel,19,Male,139271,Suburban,4,1
53,3643.63,0.74,Fashion,19,Male,58418,Urban,0,1
54,262.18,23.79,Healthcare,77,Female,175025,Rural,0,0
55,3518.69,23.41,Restaurant,38,Male,116109,Suburban,5,1
56,4437.89,13.63,Online,80,Female,62029,Rural,3,1
57,425.43,10.89,Fuel,46,Male,139342,Rural,0,0
58,4946.49,18.01,Fashion,33,Male,129823,Urban,1,0
59,428.26,9.22,Fuel,75,Female,149046,Urban,4,0
60,2300.79,11.13,Travel,19,Male,186898,Urban,1,0
